,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
203,8872,8872,5781,466.350034470013,2.2866702643880497,342.879122120692,29.8304686577985,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.024718855968615998,23.125884372355898,108.620825315474,0.34361509752875896,1,run_3,run_3//output//rmfs//7.rmf3,333.407430209281,A,2,h1_run_3_8872.rmf3
205,9020,9020,1445,466.456731112298,3.65158267598009,334.007069455466,33.0523748616879,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,24.8801754175179,108.64857581552401,0.343591008396001,1,run_31,run_31//output//rmfs//7.rmf3,329.122196159537,A,2,h1_run_31_9020.rmf3
207,8713,8713,5622,466.495501902183,3.47445870807067,342.247345461909,30.4125735910152,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,19.278838173731803,106.94416172229401,0.34938443058324603,1,run_3,run_3//output//rmfs//7.rmf3,334.545546927398,A,2,h1_run_3_8713.rmf3
211,8699,8699,1312,466.587166126442,3.4359349557962204,338.092856646905,28.7388773912131,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.1068107074112,108.30960858634899,0.34468597764797904,1,run_31,run_31//output//rmfs//7.rmf3,328.678838160318,A,2,h1_run_31_8699.rmf3
212,9249,9249,6158,466.60083466667,2.36976091095196,341.645934040271,30.9651009485878,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,20.4571175264426,108.17081412075399,0.34532503996110103,1,run_3,run_3//output//rmfs//7.rmf3,333.39196506621397,A,2,h1_run_3_9249.rmf3
213,9246,9246,6155,466.606624864635,2.35566080161824,336.859734255281,30.4351650283525,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.3452424807826,108.15872840565399,0.345386926835425,1,run_3,run_3//output//rmfs//7.rmf3,328.061729251655,A,2,h1_run_3_9246.rmf3
221,8501,8501,1150,466.732657851083,3.36595858729706,339.41052260028704,32.3010691963852,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.455954893189602,107.43204948310999,0.34773705805982397,1,run_31,run_31//output//rmfs//7.rmf3,333.488719550372,A,2,h1_run_31_8501.rmf3
223,9996,9996,5109,466.757114707736,2.7567632230280696,329.236162594029,32.5760584128301,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,27.790945327425298,108.40044641153798,0.344535387525772,1,run_22,run_22//output//rmfs//4.rmf3,322.98015339628995,A,2,h1_run_22_9996.rmf3
224,8722,8722,1335,466.81258957722804,3.58125644239887,332.92028550078703,29.022430786393798,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.23868894897570003,30.079518308496798,107.36414807027,0.34791945891883197,1,run_31,run_31//output//rmfs//7.rmf3,323.935141895983,A,2,h1_run_31_8722.rmf3
228,9858,9858,1165,466.88118267019007,1.89395568194492,338.425315846972,34.1728201070481,-13.862943611198899,-13.862943611198899,-13.862943611198899,2.10183747503803,18.4382700382477,108.626840046341,0.343806233495076,1,run_37,run_37//output//rmfs//7.rmf3,332.90326080236804,A,2,h1_run_37_9858.rmf3
